name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total,name_new
450 Kitchener,Detroit,51.22 $,9.36%,No,68122.60 $,210.00 $,1247.21 $,450-kitchener
433 Kitchener,Detroit,51.97 $,9.32%,No,67561.00 $,207.88 $,1822.07 $,433-kitchener
8034 Faith,Montgomery,51.14 $,7.29%,No,327296.00 $,2076.28 $,6326.02 $,8034-faith
11380 Pinehurst,Detroit,50.85 $,9.37%,No,69156.00 $,203.40 $,894.96 $,11380-pinehurst
9244 Mendota,Detroit,50.36 $,9.44%,No,62446.40 $,302.16 $,1797.97 $,9244-mendota
12145 Kentucky,Detroit,50.98 $,9.37%,No,71372.00 $,158.04 $,1131.25 $,12145-kentucky
18613 Anglin,Detroit,50.82 $,9.51%,No,69115.20 $,80.80 $,2601.48 $,18613-anglin
16012 Maddelein,Detroit,50.16 $,9.45%,No,70224.00 $,300.96 $,2625.47 $,16012-maddelein
8821 Prairie,Detroit,50.82 $,9.31%,No,69115.20 $,254.10 $,1758.37 $,8821-prairie
18524 Patton,Detroit,49.73 $,10.50%,No,92000.50 $,458.70 $,5065.08 $,18524-patton
11924 Wayburn,Detroit,50.10 $,9.52%,No,72645.00 $,300.60 $,2498.81 $,11924-wayburn
10993 Worden,Detroit,50.90 $,9.54%,No,73805.00 $,608.25 $,1885.26 $,10993-worden
5837 Moran,Detroit,51.53 $,10.04%,No,123672.00 $,5.15 $,3708.59 $,5837-moran
3406 Medbury,Detroit,50.83 $,10.07%,No,127075.00 $,127.07 $,5309.23 $,3406-medbury
3728 Atkinson,Detroit,50.28 $,10.06%,No,241344.00 $,4323.71 $,15973.25 $,3728-atkinson
4437 Lillibridge,Detroit,50.71 $,9.42%,No,65923.00 $,507.10 $,2767.50 $,4437-lillibridge
4628 Lillibridge,Detroit,50.29 $,9.11%,No,65377.00 $,367.62 $,2122.24 $,4628-lillibridge
3946 Fairview,Detroit,50.28 $,9.21%,No,65364.00 $,301.68 $,1709.52 $,3946-fairview
3888 Fairview,Detroit,51.13 $,9.55%,No,66469.00 $,150.75 $,2579.60 $,3888-fairview
3880 Fairview,Detroit,50.70 $,9.36%,No,65910.00 $,162.24 $,1879.02 $,3880-fairview
4526 Lillibridge,Detroit,50.71 $,9.24%,No,65923.00 $,112.58 $,620.18 $,4526-lillibridge
4421 Lillibridge,Detroit,51.14 $,9.27%,No,66482.00 $,76.71 $,3375.24 $,4421-lillibridge
3947 Fairview,Detroit,51.13 $,9.15%,No,66469.00 $,255.14 $,2262.50 $,3947-fairview
4025 Fairview,Detroit,50.27 $,9.53%,No,65351.00 $,70.38 $,1936.40 $,4025-fairview
