name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total
20160 Conant,Detroit,51.89 $,12.42%,Yes,985910.00 $,33.73 $,66373.86 $
2661-2663 Cortland,Detroit,52.85 $,16.48%,No,89845.00 $,97.51 $,19159.45 $
5846 Crane,Detroit,52.90 $,11.00%,No,158700.00 $,86.23 $,7325.87 $
12779 Strathmoor,Detroit,55.23 $,13.54%,No,71799.00 $,1128.85 $,8713.17 $
18668 St Louis,Detroit,53.65 $,11.18%,No,53650.00 $,118.03 $,3375.15 $
19144 Riopelle,Highland Park,53.87 $,12.40%,No,80805.00 $,35.55 $,10731.65 $
8060 Dreamsicle,Kissimmee,50.79 $,8.37%,Yes,685665.00 $,472.35 $,19308.58 $
9171 Whittier,Detroit,49.50 $,12.64%,No,297000.00 $,35.64 $,14614.36 $
20039 Bloom,Detroit,50.25 $,0.00%,No,50250.00 $,1786.43 $,3391.62 $
338 Willard,Toledo,48.15 $,14.67%,No,144450.00 $,139.63 $,7225.26 $
19962 Waltham,Detroit,53.62 $,12.19%,No,58982.00 $,27.24 $,2866.50 $
1612 Denver,Toledo,48.72 $,14.33%,No,121800.00 $,101.19 $,2930.48 $
1204 E Manhattan,Toledo,51.20 $,13.64%,No,435200.00 $,2695.68 $,38729.77 $
601 Milton,Toledo,48.71 $,15.22%,No,121775.00 $,4.87 $,6184.10 $
128 E Weber,Toledo,48.15 $,16.01%,No,144450.00 $,242.68 $,12516.85 $
13041 Hayes,Detroit,51.97 $,12.92%,No,337805.00 $,2851.35 $,55285.71 $
8366 Schaefer,Detroit,51.44 $,12.67%,No,308640.00 $,4170.60 $,68278.44 $
2950-2952 Monterey,Detroit,58.03 $,11.11%,No,203105.00 $,0.58 $,28533.78 $
17616 Beland,Detroit,56.68 $,12.49%,No,56680.00 $,72.58 $,10219.88 $
20552 Waltham,Detroit,53.45 $,12.26%,No,53450.00 $,91.40 $,10105.62 $
8531 Intervale,Detroit,53.92 $,11.35%,No,53920.00 $,5.39 $,7357.64 $
2550 Greenway,Toledo,51.39 $,12.93%,No,513900.00 $,1181.97 $,15248.51 $
12747-12749 Nashville,Detroit,51.15 $,11.85%,Yes,434775.00 $,546.90 $,12691.57 $
14263 Ohio,Detroit,51.80 $,11.58%,No,51800.00 $,31.26 $,2669.27 $
18949 Fenmore,Detroit,55.59 $,11.18%,No,77826.00 $,3.40 $,2024.42 $
20418 Andover,Detroit,50.40 $,10.83%,No,50400.00 $,161.28 $,3791.30 $
14432 Wilshire,Detroit,57.17 $,10.98%,No,74321.00 $,29.16 $,7341.68 $
19154 Sherwood,Detroit,51.70 $,10.56%,No,51700.00 $,43.45 $,2397.19 $
882-884 Pingree,Detroit,53.76 $,11.88%,No,91392.00 $,54.57 $,4381.98 $
15208 Bringard,Detroit,55.67 $,11.57%,No,66804.00 $,137.50 $,3167.12 $
11758 Christy,Detroit,58.65 $,11.15%,No,58650.00 $,0.00 $,3946.57 $
15841 Coram,Detroit,62.50 $,10.38%,No,62500.00 $,536.09 $,15228.45 $
14215 Hampshire,Detroit,50.75 $,10.73%,No,50750.00 $,69.28 $,2230.81 $
14839 Wisconsin,Detroit,56.95 $,12.24%,No,56950.00 $,227.80 $,3011.11 $
116 Monterey,Highland Park,56.90 $,10.19%,No,68280.00 $,716.94 $,15112.42 $
14884 Ward,Detroit,58.80 $,11.12%,No,58800.00 $,40.57 $,3410.78 $
15379 Patton,Detroit,51.80 $,12.83%,No,51800.00 $,5.18 $,14682.16 $
12410 Hamburg,Detroit,53.55 $,11.20%,No,53550.00 $,133.88 $,3061.50 $
15864 Eastburn,Detroit,51.15 $,10.67%,No,51150.00 $,122.76 $,1554.99 $
7109-7111 Pilgrim,Detroit,54.03 $,11.14%,No,86448.00 $,0.00 $,1686.33 $
7430 Nett,Detroit,52.75 $,11.55%,No,84400.00 $,5.28 $,19080.58 $
5772-5774 Chalmers,Detroit,53.35 $,0.00%,No,90695.00 $,618.86 $,9233.53 $
5278-5280 Drexel,Detroit,54.78 $,17.58%,No,98604.00 $,82.17 $,5018.64 $
1521-1523 S Drake,Chicago,49.95 $,7.70%,Yes,799200.00 $,871.90 $,22822.00 $
19191 Bradford,Detroit,56.64 $,14.48%,No,62304.00 $,504.61 $,4725.49 $
10003 Pinehurst,Detroit,57.00 $,10.53%,No,62700.00 $,0.00 $,5497.08 $
11217 Greenwich,Cleveland,51.21 $,11.22%,No,117783.00 $,16.90 $,5838.67 $
2318-2324 W Marquette,Chicago,51.67 $,11.41%,No,516700.00 $,459.79 $,19157.60 $
893-895 W Philadelphia,Detroit,54.95 $,10.81%,No,98910.00 $,134.13 $,4569.69 $
10021 Grayton,Detroit,56.73 $,10.89%,No,62403.00 $,187.33 $,7321.63 $
15203 Park Grove,Detroit,53.00 $,11.84%,No,63600.00 $,47.70 $,3274.04 $
738-742 E 87th,Chicago,49.05 $,11.40%,No,402210.00 $,160.39 $,9524.28 $
13370 Wilshire,Detroit,58.38 $,10.54%,No,58380.00 $,9.34 $,3473.95 $
14066 Santa Rosa,Detroit,52.22 $,12.34%,No,313320.00 $,383.29 $,9325.54 $
1617 S Avers,Chicago,50.85 $,0.50%,No,396630.00 $,165.33 $,8263.95 $
1815 S Avers,Chicago,54.95 $,5.07%,No,329700.00 $,156.06 $,4277.39 $
11957 Olga,Detroit,53.45 $,10.33%,No,69485.00 $,925.75 $,6506.05 $
12405 Santa Rosa,Detroit,50.51 $,11.10%,Yes,131326.00 $,209.62 $,4422.20 $
4852-4854 W Cortez,Chicago,50.90 $,11.04%,No,916200.00 $,11592.09 $,89500.08 $
12409 Whitehill,Detroit,54.24 $,11.69%,No,59664.00 $,0.00 $,11675.97 $
13606 Winthrop,Detroit,50.86 $,12.29%,No,55946.00 $,15.26 $,4522.91 $
19996 Joann,Detroit,51.75 $,10.27%,No,56925.00 $,323.18 $,3434.02 $
11078 Longview,Detroit,50.59 $,13.09%,No,758850.00 $,1011.80 $,11592.29 $
1542 S Ridgeway,Chicago,52.23 $,10.59%,No,417840.00 $,529.12 $,32464.04 $
