List of RealTokens,,,,,,
Short Name,City,Realt Price,Realt APR,RMM,Supply,Volume all time
8017-8019 S Paulina,Chicago,51.25 $,8.89%,No,486875.00 $,15278.56 $
5517-5519 Elmhurst,Detroit,54.37 $,10.92%,No,103303.00 $,10322.07 $
12730 Wade,Detroit,50.65 $,10.66%,No,65845.00 $,2869.03 $
20160 Conant,Detroit,51.89 $,12.42%,Yes,985910.00 $,66373.86 $
2661-2663 Cortland,Detroit,52.85 $,16.48%,No,89845.00 $,19159.45 $
5846 Crane,Detroit,52.90 $,11.00%,No,158700.00 $,7325.87 $
12779 Strathmoor,Detroit,55.23 $,13.54%,No,71799.00 $,8713.17 $
18668 St Louis,Detroit,53.65 $,11.18%,No,53650.00 $,3375.15 $
19144 Riopelle,Highland Park,53.87 $,12.40%,No,80805.00 $,10731.65 $
8060 Dreamsicle,Kissimmee,50.79 $,8.37%,Yes,685665.00 $,19308.58 $
9171 Whittier,Detroit,49.50 $,12.64%,No,297000.00 $,14614.36 $
20039 Bloom,Detroit,50.25 $,0.00%,No,50250.00 $,3391.62 $
338 Willard,Toledo,48.15 $,14.67%,No,144450.00 $,7225.26 $
19962 Waltham,Detroit,53.62 $,12.19%,No,58982.00 $,2866.50 $
1612 Denver,Toledo,48.72 $,14.33%,No,121800.00 $,2930.48 $
1204 E Manhattan,Toledo,51.20 $,13.64%,No,435200.00 $,38729.77 $
601 Milton,Toledo,48.71 $,15.22%,No,121775.00 $,6184.10 $
128 E Weber,Toledo,48.15 $,16.01%,No,144450.00 $,12516.85 $
13041 Hayes,Detroit,51.97 $,12.92%,No,337805.00 $,55285.71 $
8366 Schaefer,Detroit,51.44 $,12.67%,No,308640.00 $,68278.44 $
2950-2952 Monterey,Detroit,58.03 $,11.11%,No,203105.00 $,28533.78 $
17616 Beland,Detroit,56.68 $,12.49%,No,56680.00 $,10219.88 $
20552 Waltham,Detroit,53.45 $,12.26%,No,53450.00 $,10105.62 $
8531 Intervale,Detroit,53.92 $,11.35%,No,53920.00 $,7357.64 $
2550 Greenway,Toledo,51.39 $,12.93%,No,513900.00 $,15248.51 $
12747-12749 Nashville,Detroit,51.15 $,11.85%,Yes,434775.00 $,12691.57 $
14263 Ohio,Detroit,51.80 $,11.58%,No,51800.00 $,2669.27 $
18949 Fenmore,Detroit,55.59 $,11.18%,No,77826.00 $,2024.42 $
20418 Andover,Detroit,50.40 $,10.83%,No,50400.00 $,3791.30 $
14432 Wilshire,Detroit,57.17 $,10.98%,No,74321.00 $,7341.68 $
19154 Sherwood,Detroit,51.70 $,10.56%,No,51700.00 $,2397.19 $
882-884 Pingree,Detroit,53.76 $,11.88%,No,91392.00 $,4381.98 $
15208 Bringard,Detroit,55.67 $,11.57%,No,66804.00 $,3167.12 $
11758 Christy,Detroit,58.65 $,11.15%,No,58650.00 $,3946.57 $
15841 Coram,Detroit,62.50 $,10.38%,No,62500.00 $,15228.45 $
14215 Hampshire,Detroit,50.75 $,10.73%,No,50750.00 $,2230.81 $
14839 Wisconsin,Detroit,56.95 $,12.24%,No,56950.00 $,3011.11 $
116 Monterey,Highland Park,56.90 $,10.19%,No,68280.00 $,15112.42 $
14884 Ward,Detroit,58.80 $,11.12%,No,58800.00 $,3410.78 $
15379 Patton,Detroit,51.80 $,12.83%,No,51800.00 $,14682.16 $
12410 Hamburg,Detroit,53.55 $,11.20%,No,53550.00 $,3061.50 $
15864 Eastburn,Detroit,51.15 $,10.67%,No,51150.00 $,1554.99 $
7109-7111 Pilgrim,Detroit,54.03 $,11.14%,No,86448.00 $,1686.33 $
7430 Nett,Detroit,52.75 $,11.55%,No,84400.00 $,19080.58 $
5772-5774 Chalmers,Detroit,53.35 $,0.00%,No,90695.00 $,9233.53 $
5278-5280 Drexel,Detroit,54.78 $,17.58%,No,98604.00 $,5018.64 $
1521-1523 S Drake,Chicago,49.95 $,7.70%,Yes,799200.00 $,22822.00 $
19191 Bradford,Detroit,56.64 $,14.48%,No,62304.00 $,4725.49 $
