URL,identifier,offering_date
https://realt.co/product/3344-e-140th-st-cleveland-oh-44120/,0x2e1a7d86e4591ebe5662ce6b5e3601f19a626c22,"February 15, 2022"
https://realt.co/product/5601-s-wood-st-chicago-il-60636/,0xa137D82197Ea4cdfd5f008A91Ba816b8324F59E1,"March 31, 2021"
https://realt.co/product/s-11310-abington-ave-detroit-mi-48227/,0x9Abff92Ddd896F3F7664ec232bb0A5dB027D6724,"August 25, 2022"
https://realt.co/product/10110-cadieux-rd-detroit-mi-48224/,0x19d01c13e6e5a1a990db9821358a591583f63234,"May 12, 2023"
https://realt.co/product/15350-greydale-st-detroit-mi-48223/,0xdA47bD33e8f5d17Bb81b8752784bfb46C1c44B2A,"February 26, 2021"
https://realt.co/product/3280-w-boston-blvd-detroit-mi-48206/,0x12413a603d16893D8F406925289f206b3B974Cf0,"January 20, 2023"
https://realt.co/product/16704-talford-ave-cleveland-oh-44128/,0x9636b0af2bfef88c1de3c35b21c0fa58f5e1a38e,"January 18, 2024"
https://realt.co/product/2476-clements-st-detroit-mi-48238/,0x7505ecf9cef3bc8c34f02bf7547921d2058f3d35,"November 9, 2023"
https://realt.co/product/128-e-weber-st-toledo-oh-43608/,0x5162d60b699A44B9F09B5Fbfd8e6343cDE9d7B22,"September 17, 2021"
https://realt.co/product/15039-ward-ave-detroit-mi-48227-2/,0x7E95b310724334FF74537dc08bfD3377d25E65Ce,"December 4, 2020"
https://realt.co/product/8181-bliss-st-detroit-mi-48234/,0x92d31E19F88597F368825ba16410f263a844527A,"March 12, 2021"
https://realt.co/product/9481-wayburn-st-detroit-mi-48224/,0x1E001730A23c7EBaFF35BC8bc90DA5a9b20804A4,"April 7, 2021"
https://realt.co/product/5942-audubon-rd-detroit-mi-48224/,0x6Db6d540F5614e6BaB7475Af3F430F46a0B083e2,"August 7, 2019"
https://realt.co/product/19268-eureka-st-detroit-mi-48234/,0x062c208073c9b439d1973262CFe0DDD88f38afa8,"January 10, 2022"
https://realt.co/product/13523-glenside-rd-cleveland-oh-44110/,0x377d14927BbC274771daA9fFAb0722935dAfAFFA,"November 3, 2022"
https://realt.co/product/5772-5774-chalmers-st-detroit-mi-48213/,0x394d59797495848934acf61e680c1739a2cd8cfd,"July 13, 2021"
https://realt.co/product/2-holdings-arcola-st-detroit-mi-48234/,0x8e1de7a9fd1b1b2d761a448d63c4429377624843,"October 16, 2023"
https://realt.co/product/1-holdings-kitchener-st-detroit-mi-48215/,0x7804e5ae01bb68e5a07a40b109ece66a66772d5e,"April 20, 2023"
https://realt.co/product/16644-rossini-dr-detroit-mi-48205/,0xd018c66416f3fb6e96f1ad2a758677e1e019e3fb,"May 25, 2023"
https://realt.co/product/12236-sorrento-ave-detroit-mi-48227/,0x988b40198194ea79fd650d1c61db996b7dcd0780,"November 9, 2023"
https://realt.co/product/12091-montrose-st-detroit-mi-48227/,0x01b4ea64e4204b51cbc8463ffc8e6046c9d70371,"May 25, 2023"
https://realt.co/product/5846-crane-st-detroit-mi-48213/,0x062f0732a7daca652c3bd7d8ad51c3a920b25962,"October 12, 2021"
https://realt.co/product/10764-balfour-rd-detroit-mi-48224/,0x9dfaa0b7b69f39632ad514cfaba2997cf5b58360,"June 8, 2023"
https://realt.co/product/14319-rosemary-st-detroit-mi-48213/,0x41599149f1B52035392402F9e311b1edb0C9f699,"December 4, 2020"
https://realt.co/product/7501-stockton-st-detroit-mi-48234/,0xA6231A14bDB99ba817c211558FA8ebB2A74B959a,"January 6, 2023"
https://realt.co/product/11217-greenwich-ave-cleveland-oh-44105/,0x9b091105B9A9EB118F4E0dA06A090D6D95463357,"June 1, 2021"
https://realt.co/product/15084-lesure-st-detroit-mi-48227/,0xae3713ac3717fa539e98618a03e99a68443f5789,"September 20, 2023"
https://realt.co/product/9576-grandmont-ave-detroit-mi-48227/,0x870cb517bede293cde2593ad97c0316dcea9a36b,"November 22, 2023"
https://realt.co/product/10822-whitehill-st-detroit-mi-48224/,0xd0ef2feeef879eb6ceb23a7809f6bb39e13ff0a8,"November 8, 2023"
https://realt.co/product/18776-sunderland-road-detroit-mi-48219/,0xBA07997F594A52DF179620284B52B50A4E66227D,"March 22, 2021"
https://realt.co/product/8106-faith-ct-montgomery-al-36117/,0xc4a58f3746663bc22a0da17846b5f9c6b8ab4876,"June 15, 2023"
https://realt.co/product/3996-lillibridge-st-detroit-mi-48214/,0xf96bcf8a5d9fa5258bcf243feb43500a2174abd6,"July 13, 2023"
https://realt.co/product/625-virginia-st-toledo-oh-43620/,0x2F5BB131614d6C2BE8520E355752576Ad55416B4,"January 20, 2023"
https://realt.co/product/15864-eastburn-st-detroit-mi-48205/,0xca4e38439D5D86554431E15ecEd03B8bcf2abDDd,"July 20, 2021"
https://realt.co/product/4101-mcclellan-ave-detroit-mi-48214/,0x47a544a460ED29D6622A6f6E68De7f873Cc30e67,"March 2, 2023"
https://realt.co/product/2626-2638-wreford-st-detroit-mi-48208/,0xb890b3cc0f2874b15b0dbf6377d39c106ca29fbf,"November 10, 2021"
https://realt.co/product/19962-waltham-st-detroit-mi-48205/,0x9D19B4d771ef67EA1dA64699A388133b44Eb434c,"September 17, 2021"
https://realt.co/product/2661-2663-cortland-st-detroit-mi-48206/,0x5e29f1b62c15658e76671e199a7f16afddc9ad76,"October 28, 2021"
https://realt.co/product/9309-courville-st-detroit-mi-48224/,0x67a83B28F6dd8C07301495eE2C6f83b73FD21092,"July 20, 2020"
https://realt.co/product/14745-plymouth-rd-detroit-mi-48227/,0x9642a2379Bc359c8B10Ead2E06c4A4156Bbb3F57,"November 23, 2022"
https://realt.co/product/3432-harding-street-detroit-mi-48214/,0x400B5716B0c23B6f1f0f2A5fDb038949962B803E,"June 28, 2020"
https://realt.co/product/12641-elmdale-st-detroit-mi-48213/,0x9aFDd1e3EEc7985b9Dcc3dA1ed030498ea031a6C,"March 10, 2023"
https://realt.co/product/20240-rogge-st-detroit-mi-48234/,0x5128828a7a92583ec46cefecb8b4e127ef5f9e2c,"November 17, 2023"
https://realt.co/product/3946-fairview-st-detroit-mi-48214/,0x22c9f21f3be50863997e4e2e4f8f2686be79ec93,"July 21, 2023"
https://realt.co/product/18524-patton-st-detroit-mi-48219/,0x712d9c2b3077111493b8867c218f0d24a8aaf059,"August 22, 2023"
https://realt.co/product/18605-orleans-st-detroit-mi-48203/,0xf14cfe2ab33ee647f9f59ef99e45891c6ad55f2f,"January 4, 2024"
https://realt.co/product/1630-e-state-fair-ave-detroit-mi-48203/,0xe919dF5F4eff1e6e6c6FE7C82471A5e6Ce3437f1,"April 21, 2022"
https://realt.co/product/14918-joy-rd-detroit-mi-48228/,0x63A1849b47eF5913ccc5adb0E2708b11A4Ba6972,"May 4, 2021"
https://realt.co/product/13430-tacoma-st-detroit-mi-48205/,0x7085c30B97F1aF202F8dFec174f1E07D8f8f887D,"October 13, 2022"
https://realt.co/product/1000-florida-ave-akron-oh-44314/,0x1Eb16EC378f0Ce8f81449120629F52ba28961d47,"October 7, 2020"
https://realt.co/product/882-884-pingree-st-detroit-mi-48202/,0xA5c16ae5Fd75f4F079f3E33f0124899Bacf567f9,"July 20, 2021"
https://realt.co/product/738-742-e-87th-pl-chicago-il-60619/,0x38DE2858be53d603B1104f16aA67cf180002465d,"June 1, 2021"
https://realt.co/product/15796-hartwell-st-detroit-mi-48227/,0xB3D3C1bBcEf737204AADb4fA6D90e974bc262197,"December 4, 2020"
https://realt.co/product/13045-wade-st-detroit-mi-48213/,0x5600e25b4f24c63Afa655C3bd96E3C178B654Fa1,"April 14, 2021"
https://realt.co/product/11201-college-st-detroit-mi-48205/,0x5E2a09064B2DCa8c44aaD8A5b69a69Bb1854fE72,"March 12, 2021"
https://realt.co/product/18900-mansfield-st-detroit-mi-48235/,0x9Eb90Ec3FAafC22092C9b91559FdDde538042093,"May 26, 2020"
https://realt.co/product/12409-whitehill-st-detroit-mi-48224/,0x969d42ad7008e6651e1fd52742153f8743225d98,"May 24, 2021"
https://realt.co/product/4526-lillibridge-st-detroit-mi-48214/,0x14b0d23238c5277f8243d2739c005480d8022fe0,"July 18, 2023"
https://realt.co/product/s-11965-lakepointe-st-detroit-mi-48224/,0x304Bee450c2D116696d8B442981e7a300dfdf1CB,"August 5, 2022"
https://realt.co/product/19200-strasburg-st-detroit-mi-48205/,0x211618Fa0934910666f2C2731101F5A3aC013fD8,"April 14, 2021"
https://realt.co/product/1-holdings-rohns-st-detroit-mi-48214/,0x6F0E040d9F02830c6eea5b287AD74369a9E5F1E1,"February 16, 2023"
https://realt.co/product/3522-3526-harding-st-detroit-mi-48214/,0x550a0c95fe1762d9cb553402ccc65bcd71594692,"May 25, 2023"
https://realt.co/product/11653-nottingham-rd-detroit-mi-48224/,0x31820af2d43c08BD82Bd94B08974062482bD98D3,"April 22, 2021"
https://realt.co/product/15019-steel-ave-detroit-mi-48227/,0x11d2b6613cbebb4172ef9507286e47c99e3a4b37,"December 7, 2023"
https://realt.co/product/18983-alcoy-ave-detroit-mi-48205/,0xaD91999F534F4075B00bA4231C018e57bdeBb342,"April 14, 2021"
https://realt.co/product/s-11117-worden-st-detroit-mi-48224/,0xF549B95362e6062999bdfe6c61E75e4547B8116D,"August 25, 2022"
https://realt.co/product/10974-worden-st-detroit-mi-48224/,0x537DC65657eD455d1c17E319FE6F4926d6033f2b,"September 14, 2020"
https://realt.co/product/4315-e-119th-st-cleveland-oh-44105/,0x693eb3a103cf5ecc0bc8790392c6bebd95b0a8b4,"January 25, 2024"
https://realt.co/product/s-10147-somerset-ave-detroit-mi-48224/,0x4B293baA4703c5e7d480498BF3ccd8Dc3D1297Cd,"July 8, 2022"
https://realt.co/product/19311-keystone-st-detroit-mi-48234/,0x8a9F904B4EaD6a97F3aB304d0D2196f5c602c807,"December 4, 2020"
https://realt.co/product/14884-ward-ave-detroit-mi-48227/,0x328249eFca026aE8596E9AFE913C5F8775eF60AE,"July 20, 2021"
https://realt.co/product/3880-fairview-st-detroit-mi-48214/,0x2c12648dfa8d69c441b6b308c7d76661c1e6d1e7,"July 18, 2023"
https://realt.co/product/s-10703-mckinney-st-detroit-mi-48224/,0xa984E4C759bEA433BeF9239736d5f9a9af0e7389,"August 26, 2022"
https://realt.co/product/19400-hickory-st-detroit-mi-48205/,0xBf1a3181167E4979fD121eF247D9aF4Fc884CC46,"October 13, 2022"
https://realt.co/product/19643-rogge-st-detroit-mi-48234/,0x5f51b44cdbdd5dc9aecabc2ed80e2b2a8c002866,"October 2, 2023"
