Txn Hash,timestamp,Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX,volume_bought,volume_sold,token_bought,token_sold
0x54433c1873d38aa274beeb995a90ac2987ce70d51686af2f81bbf902f77a5e66,1596661368,Swap,1.399804963, UNI-V1,4.423141197, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.31647305,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.399804963,4.423141197, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0xa3f4471d143fb41e3f729ab96f3eea8de97568844889506569eaeb1ffc67583e,1596661641,Swap,0.999959914, UNI-V1,3.029694836, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.33005301,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.999959914,3.029694836, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x50beca2b63149246fea8a2a878abc2e8d56e9f8a058fb2aab9946a9507a55539,1596662444,Swap,0.67944478, UNI-V1,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.33972239,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.67944478,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x1c9ce6d9b140ecd973fc98ef1f8bab7e588b8d4982a0483f425e3c13aabaff7a,1596662582,Sell,0.855486588, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.295487363, ETH,0.34540268,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.295487363,0.855486588, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x7af06b217aed18ff2508704810a933bcc4dda205b6a469c6f9a0f5a7cf7e62a0,1596665268,Swap,0.349174781, UNI-V1,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.34917478,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.349174781,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x683354b9abc3c836d04e065f49a649266a124a3fc5b236774a6db90cf3d232fe,1596702793,Sell,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.353309854, ETH,0.35330985,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.353309854,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x03f7ac9d7ce68e35030f3788e3af825888f657d4fb70c7b2e09aa5ea505c7e9e,1596706857,Sell,5.98E-07, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,2.12E-07, ETH,0.35540502,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,2.12E-07,5.98E-07, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x3588eae91818572debeb6065f6ccf5fec4ec2175fc1b98f5a70ba5551ecca850,1596707291,Sell,0.767693733, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.274086242, ETH,0.3570255,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.274086242,0.767693733, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x908486b0d290a400841da6dfbee160684076b93fc0be450bb589175e3a36e600,1596711177,Buy,0.175074, ETH,0.486724859, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.35969809,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.175074,0.486724859, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x7a964ca18031128aaaa54b2b489f7678b15756370258e43c60629f88b20731bd,1596755123,Swap,0.108331665, UNI-V1,0.299764428, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.36138933,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.108331665,0.299764428, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x4be203dee2d58499623190ee272aa2484cbe85009a223db269db2e85e0a9d746,1596834855,Swap,0.364211002, UNI-V1,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.364211,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.364211002,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x3c8f8ed9f4d9e10c4b032f3680116d97e118e359ee85a6410bed982bf5576d7f,1596898862,Buy,0.183753496, ETH,0.5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.36750699,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.183753496,0.5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x7dd5a393011a6d57ccec9e3eb9f0af8176e42565ac4addb461146107f2fcd879,1597101967,Buy,2, ETH,0.724122869, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,2.76196221,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,2,0.724122869, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x5df7304c044e4c82ec014640ae8bdef74349a372f9b3397980c6f2f9c4dbab36,1597108284,Buy,0.355643825, ETH,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.35564383,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.355643825,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x8592a769061f0789707f4ae8938deb24e395b40b51ca8821094ab5c57be11b16,1597173830,Swap,0.357787329, UNI-V1,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.35778733,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.357787329,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x7e533025638f5e81e6c2b0cd254ce2ef0f47c1144e28b2feb017a51f204150b4,1597347927,Buy,14, ETH,4.624683534, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,3.02723417,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,14,4.624683534, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xbb0515b6d7013487b78d54246287a8847fe421e8282b2086c1831b533ede73ae,1597348715,Swap,2.518237604, UNI-V1,7.854669178, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.3206039,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,2.518237604,7.854669178, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0xe1b220713f21cc83363553773f2f3f8eec0601d64e9992d051289852b6b6a125,1597433481,Buy,3.447050128, ETH,11, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.31336819,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,3.447050128,11, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x0dcdef6fe14167465d4c279a8a85114d976684ee918b5bdeb0f8a493e26059dc,1597453602,Buy,1.523808636, ETH,5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.30476173,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.523808636,5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x8ad2a5ac13477e9755fb802dc7c334598b3fc36a4110a5eeb4f2ed109061c1eb,1597476746,Buy,1.551314158, ETH,4.82, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.32184941,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.551314158,4.82, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xf03eb35b15a8afc9465c4504603548f7215077655da7e88a61cd52ba8a0a80ca,1597506632,Buy,2.515526293, ETH,8, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.31444079,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,2.515526293,8, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xafaa40ce307c52b585642240ea09576ab90accc027a20b2d12c9109fd72d003c,1597513792,Buy,0.047683277, ETH,0.157475569, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.30279793,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.047683277,0.157475569, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
